Genus	CF1	CF10	CF11	CF12	CF13	CF14	CF15	CF16	CF17	CF18	CF19	CF2	CF20	CF21	CF22	CF23	CF24	CF25	CF26	CF27	CF28	CF29	CF3	CF30	CF31	CF32	CF33	CF34	CF35	CF36	CF37	CF38	CF39	CF4	CF40	CF41	CF42	CF43	CF44	CF45	CF46	CF47	CF48	CF5	CF6	CF7	CF8	CF9	CL1n	CL2n	CL3n
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;[Eubacterium] brachy group	0	0	22	12	8	7	16	1	5	6	3	0	1	1	2	3	0	11	5	0	1	2	0	4	3	4	1	4	8	0	0	2	3	5	1	3	2	0	2	0	2	0	0	9	0	0	0	3	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;[Eubacterium] nodatum group	0	0	39	3	4	2	0	4	1	0	3	0	9	6	0	3	5	0	1	0	0	16	0	1	2	15	3	1	0	2	0	0	0	39	17	33	19	8	24	32	14	0	0	27	1	1	0	28	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;?	290	367	1738	981	643	2299	886	488	1368	611	648	590	560	357	329	620	538	1005	706	300	302	398	296	459	305	168	200	361	981	382	94	535	402	724	332	707	724	1048	1106	758	1286	9	1	1448	122	97	774	1663	19	678	164
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;A2	2	7	67	38	27	81	84	15	31	30	37	5	103	13	21	4	35	30	36	2	18	56	6	19	10	4	16	24	43	38	3	46	8	52	24	1602	1083	525	4012	3545	1557	1	2	118	10	4	5	62	8	4	3
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;ASF356	59	290	336	147	9	11	17	1	9	5	2	155	8	1	19	7	7	2	0	2	6	4	41	10	3	5	9	3	0	0	2	10	1	27	4	237	172	269	476	212	236	3	0	32	1	44	338	101	4	6	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor	92	2	19	21	47	136	230	29	114	50	36	25	18	50	167	29	64	64	47	6	22	34	10	45	33	73	2	31	44	22	1	26	54	17	66	26	21	156	329	36	124	0	0	24	6	0	5	5	0	0	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetitomaculum	21	3	4	2	1	27	7	5	23	8	7	1	6	4	4	4	3	21	6	4	3	6	3	3	9	5	1	6	13	6	1	11	1	6	5	1	3	3	5	3	10	0	0	16	101	3	0	1	2	0	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia	35	22	141	87	72	156	100	106	253	131	138	26	77	69	63	129	145	97	56	290	52	40	19	85	50	19	8	56	64	41	34	98	30	87	50	54	83	127	474	483	1418	0	0	193	4	13	13	66	729	5	3
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;GCA-900066575	2	0	1	8	51	480	204	40	131	81	47	119	363	65	12	41	111	90	138	1	49	130	25	88	4	12	1	165	135	82	18	225	68	54	65	78	107	111	41	13	227	0	0	107	4	1	1	1	2	0	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium	33	0	0	1	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	1	0	0	0	2	1	1	0	0	0	1	1	0	4	0	0	1	0	72	43	0	33	67	7	0	6	42	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group	2165	4968	5165	7533	5197	8708	6375	4832	10559	8386	7198	2442	5834	4471	3301	5006	5480	10573	5632	4839	2891	3897	1439	4178	1927	1448	2587	3015	6657	3593	1043	6383	4691	2770	2970	5081	5384	9556	5116	2501	5446	1749	767	4825	1440	4069	6431	4482	3528	4698	341
